name,smiles,Density,Vint,Veff,pc
PMELIM,O=c1[nH]c(=O)c2cc3c(=O)[nH]c(=O)c3cc12,1.6653,157.232,215.4074384,0.729928368
NEDQES,Nc1[nH][nH+]cc1C(=O)[O-],1.6393,93.915,128.688828,0.72978363
HOMCOD,O=c1[nH]nc(O)c2cccc(-c3cccc4c(O)n[nH]c(=O)c34)c12,1.6303,239.335,328.0560523,0.729555203
HIHNIV01,Nc1nccnc1C(=O)O,1.6118,104.489,143.2477949,0.729428332
SERGLY,[NH3+]C(CO)C(=O)NCC(=O)[O-],1.5998,122.698,168.2232608,0.729375946
KIXRUG,Nc1ncn(C2OC(CO)CC2O)c2nc(=O)[nH]c(=O)c1-2,1.679,212.851,291.8577872,0.72929697
DICPAG01,CN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C)C5=O,1.595,317.346,435.2910029,0.729043325
MISALX,Cn1c2nc(=O)[nH]c(=O)c-2nc2ccccc21,1.6015,172.26,236.480976,0.728430688
XDHURC,O=C1CONC(=O)N1,1.7028,82.401,113.1468475,0.728265982
AZFOXM,O/N=C/N=N/C=N/O,1.5923,88.101,121.0105546,0.728043932
YABWON,O=C(O)C[n+]1cccc(C(=O)[O-])c1,1.5797,138.541,190.3088467,0.72797982
FOMHAZ,O=CNNC=O,1.5875,66.983,92.0806909,0.727438069
VODWIU,Nc1ccc(C(=O)[O-])cc1[NH3+],1.5424,119.036,163.7114068,0.727108772
UFORUE,O=C(O)Cc1nnn[nH]1,1.6589,93.153,128.1646309,0.726822988
VATNUA,O=C(O)c1ccc[n+]([O-])c1,1.5767,106.408,146.4249011,0.726706996
FADCUI,Cn1c(=O)[nH]c(=O)c2[nH]cnc21,1.6591,120.763,166.1992011,0.726616007
ALOPUR,O=c1[nH]cnc2[nH]ncc12,1.6327,100.51,138.363172,0.726421623
MIMOSN,[NH3+]C(Cn1ccc(=O)c(O)c1)C(=O)[O-],1.5952,149.74,206.1842859,0.726243513
LGLUAC01,[NH3+]C(CCC(=O)O)C(=O)[O-],1.5799,112.23,154.5645128,0.726104576
NAXREL,O=C(O)CN(CC(=O)O)c1nc(N(CC(=O)O)CC(=O)O)nc(N(CC(=O)O)CC(=O)O)n1,1.6964,336.973,464.0931308,0.726089178
QICVAZ01,N#C/C(=N\O)C(N)=O,1.5695,86.767,119.5828017,0.725580926
ZIKMOV,NC12NC(=O)NC1(N)NC(=O)N2,1.7358,119.426,164.6162533,0.725481218
JEMFUD,O=C1c2nonc2/N=N/c2nonc2C(=O)N2CCN1CC2,1.6964,215.929,297.649972,0.725446062
ATZCBX,NC(=O)c1nn[nH]c1N,1.6368,93.465,128.8967802,0.725115087
AMYGLA,N/C=C1/C=CC(=O)OC1=O,1.5857,105.565,145.5938334,0.725065049
RIRWOG,O=C(NC(CO)(CO)CO)c1cc2ccc(O)cc2oc1=O,1.6088,231.259,319.0367386,0.724866362
MEGDUY,NC(=O)c1c[n+](=O)cc[n-]1,1.5888,105.322,145.3214978,0.724751682
WOSGIU,Nc1nnco1,1.6177,63.24,87.28247018,0.724544114
WOHDAY,N#Cc1cccc(C2=C3C(=O)NC(c4cccc(C#N)c4)=C3C(=O)N2)c1,1.5134,268.747,370.9635732,0.724456576
DOVCAT,N#[N+]/N=c1\[n-]onc1N,1.6587,91.384,126.1733718,0.724273265
VABWEC,O=C(O)c1cc(C(=O)O)cc(-c2ccncc2)c1,1.5506,188.498,260.2954171,0.724169492
SAHLOE,O=C(O)Cn1c[n+](CC(=O)O)c(C(=O)[O-])c1C(=O)O,1.6957,192.885,266.3972431,0.724050286
ACXMPR,[NH3+]C(C(=O)[O-])C1CC(C(=O)O)NC1=O,1.6391,148.192,204.7093697,0.723914104
PECYON,O=c1[nH]c2cc3ccccc3cc2[nH]c1=O,1.5553,163.901,226.4157872,0.723893868
UHUMEP,O=c1cc(O)nc[nH]1,1.6269,82.733,114.3478375,0.72352046
GENNAP,O=C(O)Cn1c(=O)c2cc3c(=O)n(CC(=O)O)c(=O)c3cc2c1=O,1.6695,238.893,330.2580444,0.723352554
CAPYUN,N#CC(C#N)=C1C(=O)C(=C(C#N)C#N)c2ccccc21,1.4534,211.6,292.5399414,0.723320033
GAVWIM,O=c1c2ccccc2[nH]c2c(=O)c3ccccc3[nH]c12,1.5429,203.993,282.0665385,0.72320879
NOFBIT,Cn1c2nc3nonc3nc2[n-][n+]1=O,1.7187,134.881,186.5093536,0.72318625
CUGBIP,O=c1cc([O-])[nH]c2cccc[n+]12,1.5682,124.078,171.5906678,0.723104593
JOHKEY,[NH3+]CC(=O)NCC(=O)NCC(=O)NCC(=O)[O-],1.5924,185.54,256.6363441,0.722968528
OFOJEY,O=c1c2cccc3c(=O)c4cccc5c(=O)c6cccc1c6n(c23)c45,1.5832,244.966,338.8520203,0.722929141
JOXYEC,O=C1NC(=O)C2=C1C(=O)c1cccc3cccc2c13,1.5691,190.523,263.5651838,0.722868617
MIXPEO,O=c1c2ccccc2on2nncc12,1.5952,140.725,194.7063665,0.722755001
COFCAE,O=C(c1ccc(O)cc1)c1cnc2ncccn12,1.5445,185.764,257.0403189,0.72270374
JOHKIC,[NH3+]CC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)[O-],1.5965,227.807,315.2881659,0.722535841
SEPNUX,O=C(O)c1cc(C(=O)O)[nH]n1,1.6525,113.266,156.7818501,0.722443318
ADPRLA,O=C1CCn2cnc3ncnc(c32)N1,1.615,140.4,194.4033674,0.722209712
KOYZAB,O=C(O)/C=C\C(=O)NCC(=O)O,1.6097,128.91,178.5038458,0.722169315
NOFYEM,Nc1[nH]cnc2[n+](C3OC(C(=O)[O-])C(O)C3O)cnc1-2,1.6782,200.807,278.1282543,0.721994249
FUMRAM01,NC(=O)/C=C/C(=O)O,1.5533,88.777,122.9728588,0.721923527
HXURID,O=c1[nH]c(=O)n(C2OC(CO)C(O)C2O)cc1O,1.6864,184.864,256.0857607,0.721883167
VIRAZL,NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1,1.6518,177.09,245.381115,0.72169368
RIKCIA,O=C1C(=O)c2c([nH]ccc2=O)-c2ncccc21,1.5839,171.029,236.9836735,0.721691066
HMGLUT,CC(C(=O)O)C(O)C([NH3+])C(=O)[O-],1.5885,133.581,185.1004202,0.72166773
CXHIMZ20,NC(=O)N1C(=O)NC(O)C1O,1.7081,112.925,156.5652448,0.7212648
PAHYON04,O=C1CNC(=O)N1,1.6379,73.144,101.4135764,0.721244656
EMOQUU,O=c1[nH]nc2oc3n[nH]c(=O)c4cccc(c5cccc1c25)c34,1.6187,224.908,311.9302146,0.721020246
BUGPEZ,c1cnc2c(c1)c1nc3nonc3nc1c1cccnc12,1.6007,204.995,284.3159548,0.721011243
DEFXUH,Nc1nc2c(ncn2CCO)c(=O)[nH]1,1.6111,144.942,201.0691963,0.720856316
HOTSOY,Nc1cc(=O)[nH]c2ncnn12,1.641,110.132,152.8535344,0.720506729
BELBUP03,On1nnc2cccnc21,1.6014,101.629,141.0675353,0.720427984
PYAZAC01,O=C(O)c1cnccn1,1.557,95.26,132.279831,0.720140019
TIDCIS,O=C1c2c(O)cccc2C(=O)c2c([N+](=O)[O-])ccc(O)c21,1.6677,208.519,283.8138728,0.734703339
NBARBA,O=c1[nH]c(O)c([N+](=O)[O-])c(=O)[nH]1,1.8673,116.995,153.8563021,0.76041734
KOBXOO,Nc1[nH][nH]c(=O)c1[N+](=O)[O-],1.8322,100.426,130.5389485,0.769318285
BOLPEX,O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c([N+](=O)[O-])ccc(O)c21,1.7361,234.794,315.6607434,0.743817548
JUPSES,COc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N)c1[N+](=O)[O-],1.7092,180.81,250.6869125,0.721258235
OGOYAN,NC(N)=C(c1ncn[nH]1)[N+](=O)[O-],1.7105,122.167,165.0942438,0.739983401
WUBJAG,O=[N+]([O-])O[C@H]1[C@@H]2C[C@H]3[C@@H](O[N+](=O)[O-])[C@H](C[C@@H]1C3([N+](=O)[O-])[N+](=O)[O-])C2([N+](=O)[O-])[N+](=O)[O-],1.852,289.509,392.7565571,0.73712073
JEXMII,O=[N+]([O-])N1CCN([N+](=O)[O-])[C@H]2[C@H]1N([N+](=O)[O-])CCN2[N+](=O)[O-],1.8217,217.182,293.5809528,0.739768701
BOQWUZ,O=C1O[C@H]2[C@@H](O1)N([N+](=O)[O-])CN2[N+](=O)[O-],1.9526,143.824,187.1070789,0.768672147
KUBPOM,O=[N+]([O-])C(=C1NCCCN1[N+](=O)[O-])[N+](=O)[O-],1.7922,160.317,215.9276948,0.742456868
QOYJOD06,O=c1[nH]nc([N+](=O)[O-])[nH]1,1.9145,88.598,112.7704742,0.785648909
WACQEY,O=[N+]([O-])c1cc([N+](=O)[O-])c2ccccc2c1O,1.6459,171.256,236.1178388,0.725298863
UZONOP,Cn1nc([N+](=O)[O-])c(N(CCO[N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],1.7659,220.046,301.8875868,0.728900457
FUJXEO,NNC(N)=C([N+](=O)[O-])[N+](=O)[O-],1.8194,112.737,148.8042847,0.757619313
JAPKIU,NNc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.7751,222.501,511.0781203,0.722952414
KENFUH,O=[N+]([O-])c1nc(-c2nc([N+](=O)[O-])nn2C([N+](=O)[O-])[N+](=O)[O-])n(C([N+](=O)[O-])[N+](=O)[O-])n1,1.9535,284.489,368.9205566,0.771138921
HOCVEA,O=C1C(=O)c2cccc([N+](=O)[O-])c2-c2ccc([N+](=O)[O-])cc21,1.6817,219.697,294.2833479,0.746549207
VOGSUI,O=[N+]([O-])/N=c1\[nH]nc2nncnn12,1.8128,124.63,166.7470965,0.747419311
WERYEX,O=[N+]([O-])N=C1N[C@H]2NC(=N[N+](=O)[O-])N[C@H]2N1,1.8384,155.627,207.8019059,0.748919984
CATJIQ01,O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])CN([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])C1,1.8697,253.769,341.0781698,0.744020059
DNTNAP10,O=[N+]([O-])c1cccc2cccc([N+](=O)[O-])c12,1.5888,164.108,227.8859491,0.720132157
TENZOD,Nn1nc([N+](=O)[O-])c([N+](=O)[O-])n1,1.8672,117.14,154.7596602,0.756915593
CUFRAZ,Nc1nc(-c2nonc2N[N+](=O)[O-])no1,1.8188,144.931,194.4956765,0.745163094
IDITAR,NC(=O)c1c(C(=O)O)cccc1[N+](=O)[O-],1.6914,152.774,206.2031164,0.74089084
EKELAH,O=[N+]([O-])/N=C1\NCCN1[N+](=O)[O-],1.7454,120.029,166.5301453,0.720764399
COGGAI,O=[N+]([O-])c1ncn(/N=N/n2cnc([N+](=O)[O-])n2)n1,1.8184,173.874,231.9817731,0.749515782
MEDNEQ,O=c1[nH]nc2n1-c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC2,1.8111,192.384,255.8374612,0.751977443
CANXIA,O=[N+]([O-])C(CO)(CO)C(CO)(CO)[N+](=O)[O-],1.6889,171.276,236.0368182,0.725632558
NBFURX,O=C1/C(=N/O)Oc2ccc([N+](=O)[O-])cc21,1.6866,149.795,204.8053851,0.731401667
NOXBZA,O=C(OO)c1ccccc1[N+](=O)[O-],1.6133,135.902,188.382602,0.721414815
SUGFOP,O=[N+]([O-])C([C@H](O)[C@H](O)C([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.8177,180.599,246.6721332,0.732141883
DAVQOH,N#Cc1cc([N+](=O)[O-])cc2c1-c1c(C#N)cc([N+](=O)[O-])cc1C2=O,1.6305,239.03,325.9258951,0.73338757
