MolName,Density,SMILES
ACALUL,1.3136,CC(C)(C)c1ccc(C(=O)Nc2ccc([N+](=O)[O-])cc2)cc1
ACAMIA,1.178,CCc1cc([N+](=O)[O-])cc(CC)c1NC(=O)c1ccc(C(C)(C)C)cc1
ACAMOX,1.1322,C/C(=N\O)N(C)C
ACANAT,1.0479,CC(C)c1cc(N(C)C)cc(C(C)C)c1NC(=O)c1ccc(C(C)(C)C)cc1
ACANIL03,1.2094,CC(=O)Nc1ccccc1
ACANLC10,1.3764,Cc1nc2ccccc2c(=O)[nH]1
ACANOB,1.3571,CC(=O)NC(C)C(=O)NC1C(C)OC(=O)C2=C(O)CC(O)C(O)C21
ACANOH,1.4465,O=C(NCCO[N+](=O)[O-])c1ccncc1
ACAPRE,1.2875,OCCNCCCNc1c2ccccc2nc2ccccc12
ACASOM,1.212,COc1cc2c(cc1OC)/C(=N/N=C1\NC(C)(C)Cc3cc(OC)c(OC)cc31)NC(C)(C)C2
ACATAZ,1.2018,CC1(C)Cc2ccccc2C(N2CCOCC2)=N1
ACATUW,1.1991,CCC(=O)OC(CCc1ccccc1)C(C)C(=O)N1C(=O)OCC1Cc1ccccc1
ACAWUZ,1.0511,CCCCCCC(NC(C)=O)c1ccccc1
ACAXAG,1.1517,CCC(C(=O)OC)C(NC(C)=O)c1ccccc1
ACAZNO10,1.2085,CC(=O)C1=CCCC2CCC1N2C(C)=O
ACBNZA01,1.3439,CC(=O)Nc1ccccc1C(N)=O
ACDHAL,1.4355,C=C(NC(C)=O)C(=O)O
ACDXUR,1.5087,CC(=O)c1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O
ACDXYL10,1.3558,CC(=O)OCC1OC=C(N(C(C)=O)C(C)=O)C(OC(C)=O)C1OC(C)=O
ACEFIZ,1.3927,O=C(O)c1cc(/N=N/c2ccccc2)ccc1O
ACEMAX,1.2194,NC(=O)CNC(c1ccccc1)c1ccccc1
ACEMID07,1.2724,CC(N)=O
ACEMUR,1.5955,O=[N+]([O-])c1ccc(N/N=C/c2ccc3c(c2)OCO3)c([N+](=O)[O-])c1
ACENAY,1.2882,CC1=CC2CN(Cc3ccccc3)C(=O)C2C(C(=O)O)C1
ACENEC,1.2088,CC1=CC2CN(Cc3ccccc3)C(=O)C2C(C(N)=O)C1
ACENIG,1.2569,NC(=O)C1C2CCCCC2=CC2CN(Cc3ccccc3)C(=O)C21
ACENIH,1.5854,CC(=O)OCN(CN(CN(COC(C)=O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
ACENON,1.1614,CC(C)(O)C#Cc1ccccc1/N=C1\CC(C)(C)Nc2ccccc21
ACEPEE,1.2636,COc1ccc(C2C(C#N)=C(N)OC3=C2c2cc(OC)ccc2CC3)cc1
ACEQAC,1.2509,CCC1C(=O)C2CCC3C1CCCC(=O)N23
ACEQIK,1.4472,CCOC(=O)n1cnc(C(N)=O)c1N
ACEREG,1.3714,Cc1cc(=O)n(CC(=O)c2cccc([N+](=O)[O-])c2)c2c1CCCC2
ACERIK,1.502,O=[N+]([O-])c1ccc(N/N=C/c2ccccc2[N+](=O)[O-])cc1
ACETAD,1.2792,CC(C)C(NC(=O)C(=O)NC(C(=O)O)C(C)C)C(=O)O
ACETAE01,1.3089,CC(=O)OCC1OC([N-][N+]#N)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O
ACETSC10,1.2474,CC(C)=NNC(N)=O
ACEZAK,1.3066,Cc1cccc(C)c1NC(=O)CN1CCN(Cc2nc(-c3ccc([N+](=O)[O-])cc3)no2)CC1
ACEZUE,1.3977,CCOC(=O)/C(C#N)=C1\NC=Nc2ccccc21
ACHXDO,1.1431,CC(=O)C(=C/C=C/N(C)C)C(C)=O
ACIBAQ,1.3193,CCOC(=O)/C(C#N)=C1\NC(C)=Nc2ccccc21
ACIDAR,1.4775,O=C1C=C/C(=N\Nc2ccccc2[N+](=O)[O-])c2ccccc21
ACIDEV03,1.2527,Oc1ccccc1/C=N/CCCC/N=C/c1ccccc1O
ACIFOH,1.2655,COc1ccc(/C=N/N=C2c3ccccc3-c3ccccc32)cc1
ACINDD,1.4,CC(=O)C1CC(=O)C(C2C(=O)Nc3ccccc32)C12C(=O)Nc1ccccc12
ACISAI,1.5052,O=[N+]([O-])c1cnn(Cc2ccc(Cn3cc([N+](=O)[O-])cn3)cc2)c1
ACISAI01,1.5065,[O-][N+](=O)c1cnn(c1)Cc1ccc(cc1)Cn1ncc(c1)[N+](=O)[O-]
ACITOX,1.2578,Cn1c2c(c3ccccc31)C(N1CCCC1=O)c1ccccc1-2
ACIVEP,1.2708,COc1cc2c(c(OC)c1)C1(C)OCC(c3ccccc3)N1C(=O)C2
ACIVUF,1.1927,CCC1CN2C(=O)CCC2C2OC(C)(C)OC12
ACKYNU,1.3338,CC(=O)NC(CC(=O)c1ccccc1N)C(=O)O
ACMCOX,1.135,CC(=O)C1C(C)(C)CC(=NO)CC1(C)C
ACMEPD,1.2331,CC(=O)c1cc(C(C)=O)c(C)nc1C
ACMPIM10,1.2178,CC(=O)c1nc(-c2ccccc2)[nH]c1C
ACNOCT,1.3214,C/C1=N/O/C(C)=N\O/C(C)=N\O/C(C)=N\O/C(C)=N\O/C(C)=N\O/C(C)=N\O/C(C)=N\O1
ACNORT,1.3979,COc1cc2c3c(c1OC)-c1cc4c(cc1CC3N(C(C)=O)CC2OC(C)=O)OCO4
ACNTBP,1.3378,CC(=O)c1ccc(-c2ccccc2[N+](=O)[O-])cc1
ACNVAL,1.1293,CCCC(NC(C)=O)C(=O)O
ACOKIO,1.2288,Cn1cc(C(=O)NCCC2=CCCCC2)c2ccccc21
ACONTO11,1.3137,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14
ACOQIS,1.3995,CC1(C)OC2C(/C=C/CN3C(=O)c4ccccc4C3=O)OC(n3cnc4c(N)ncnc43)C2O1
ACOTIX,1.2463,Cc1ccc(N2C(=O)c3c4c(nc5ccc(C)cc35)CC(C)(C)C=C42)cc1
ACOWIY,1.6435,[O-][N+](=O)C1(CNC1)[N+](=O)[O-]
ACOWOE,1.6768,O=CN1CC([N+](=O)[O-])([N+](=O)[O-])C1
ACOWUK,1.7315,O=C(N1CC([N+](=O)[O-])([N+](=O)[O-])C1)N1CC([N+](=O)[O-])([N+](=O)[O-])C1
ACPIXZ,1.299,CC(=O)N(C(C)=O)c1onc(-c2ccccc2)c1-c1ccccc1
ACPPCA,1.2809,CC(=O)N1CCCCC1C(=O)O
ACSKAT,1.2366,CC(=O)n1cc(C)c2ccccc21
ACSLCA10,1.3175,CC(=O)Oc1ccccc1C(N)=O
ACSLCB10,1.4084,CC(=O)NC(=O)c1ccccc1O
ACTOLD,1.2188,CC(=O)Nc1ccc(C)cc1
ACTZCN,1.3519,CC(=O)N1CN2CN(C1)CN(C(C)=O)C2
ACUGIO,1.0775,C=CCC1C(O)CC2CCCCN21
ACUHOV,1.393,CC(C)(C)OC(=O)Nc1ncnc2c1ncn2CC(=O)NCCN1C(=O)C2C3C=CC(C3)C2C1=O
ACUHUB,1.4104,Nc1ncnc2c1ncn2CC(=O)OCCN1C(=O)C2C3C=CC(C3)C2C1=O
ACUJOX,1.436,COC(=O)C1=C(C(=O)OC)C2(c3ccccc3)C(=O)OCC(C)N2O1
ACUJUD,1.404,COC(=O)c1c(C(=O)OC)c2n(c1C(=O)OC)C(C)COC2=O
ACUMAP,1.2896,CNc1c2cc([N+](=O)[O-])cc1CCCCCC2
ACURID,1.4841,CC(=O)c1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O
