name,smiles,Density,Vint,Veff,pc
TICYOT,O=[N+]([O-])c1c(O)c([N+](=O)[O-])c(O)c([N+](=O)[O-])c1O,1.8864,173.122,229.7470811,0.753532968
ASUDEA,N#Cc1nn2nnc([N+](=O)[O-])c2nc1N,1.8544,145.224,184.4982401,0.78712946
LAPVUW,O=[N+]([O-])Nc1c([N+](=O)[O-])cc(-n2cnnn2)cc1[N+](=O)[O-],1.7862,204.003,275.2098006,0.741263573
CIWMEA10,O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,1.861,222.368,487.4877868,0.757484209
SIYWIH,Nc1cc(N)c([N+](=O)[O-])cc1[N+](=O)[O-],1.7383,142.223,189.1867946,0.751759658
PABBOJ,O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3cc([N+](=O)[O-])cc([N+](=O)[O-])c32)c([N+](=O)[O-])c1,1.755,287.155,397.4133144,0.72256009
FACQAE,Cc1c(/C=N/n2nn[nH]/c2=N\[N+](=O)[O-])[n-]o[n+]1=O,1.7108,178.487,247.5626223,0.720977175
PICNEX,N#[N+][N-]c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.7733,176.43,237.8606822,0.74173671
TIBMIA01,Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N)[n+]1[O-],1.8869,148.067,189.2401668,0.782429029
SOBGAR,O=C1N[C@@H]2[C@H](N1[N+](=O)[O-])N([N+](=O)[O-])[C@H]1[C@H](NC(=O)N1[N+](=O)[O-])N2[N+](=O)[O-],1.9454,222.501,466.3384246,0.792311208
VEGHEU,O=C1CN([N+](=O)[O-])C(=O)CN1[N+](=O)[O-],1.8376,138.549,184.3622806,0.751504047
GIBVOE,O=C1Nc2c([N+](=O)[O-])ccc3ccc([N+](=O)[O-])c(c23)N1,1.7137,194.821,265.5427206,0.733671025
KAFXEY01,O=[N+]([O-])c1cn(/N=N/n2cc([N+](=O)[O-])nn2)nn1,1.7757,174.27,237.5602051,0.733582461
LUJXOG,O=[N+]([O-])OCc1nc(-c2nonc2/N=N/c2nonc2-c2noc(CO[N+](=O)[O-])n2)no1,1.7726,306.378,423.4570605,0.723516098
CADBOB,O=[N+]([O-])c1nonc1O,1.8181,88.895,119.6486052,0.74296729
