name,smiles,Density,Vint,Veff,pc
DOLTAZ,O=c1c([N+](=O)[O-])c([O-])[nH]c2cccc[n+]12,1.7217,149.863,199.6809585,0.750512223
ITINEE,O=C(O)c1cn(CC(Cn2cc(C(=O)O)nn2)([N+](=O)[O-])[N+](=O)[O-])nn1,1.7807,249.156,332.0328147,0.750395711
SILGUQ,O=C(O)C1=C/C(=C(\[O-])O)C=C[N+]1=O,1.7078,133.518,177.9585736,0.750275737
CIGSUJ,O=[N+]([O-])OCc1nc(-c2noc(CO[N+](=O)[O-])n2)no1,1.8313,195.925,261.1630245,0.750201911
UVILAO,Nn1nc([N+](=O)[O-])c2c1c([N+](=O)[O-])nn2N,1.8342,154.833,206.4528597,0.749967814
LENPEZ03,O=C1NC(=O)c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)NC5=O,1.6663,291.412,388.7297442,0.749651922
JIRREK,NC1=N/C(=C2/C(N)=NO[N+]2=O)O[N-]1,1.7935,127.735,170.3973632,0.749630145
COGGAI,O=[N+]([O-])c1ncn(/N=N/n2cnc([N+](=O)[O-])n2)n1,1.8184,173.874,231.9817731,0.749515782
AMMALA,[NH3+]C(C(=O)[O-])C(=O)O,1.7156,86.345,115.2061651,0.74948246
LAPVIK,Nc1c([N+](=O)[O-])cc(-n2cnnn2)cc1[N+](=O)[O-],1.7577,177.751,237.1721709,0.749459767
SIFTOT,Nn1c(-c2ccccc2)nc2ccccc2c1=O,1.6499,178.803,238.6277992,0.749296606
KAHHIM02,O=[N+]([O-])c1n[nH]c([N+](=O)[O-])c1[N+](=O)[O-],1.8756,134.651,179.7236345,0.749211423
CASYIG01,O=[N+]([O-])C(=C1N[C@H](O)[C@@H](O)N1)[N+](=O)[O-],1.8563,138.085,184.308202,0.749207026
LASPRT06,[NH3+]C(CC(=O)[O-])C(=O)O,1.6673,99.241,132.5029001,0.748972286
WERYEX,O=[N+]([O-])N=C1N[C@H]2NC(=N[N+](=O)[O-])N[C@H]2N1,1.8384,155.627,207.8019059,0.748919984
GANTAT01,O=[N+]([O-])c1n[nH]c([N+](=O)[O-])c1Nc1nnc2nncn2n1,1.8263,199.524,266.4497372,0.748824157
PECBII,N#Cc1c(O)c(C#N)c(C#N)c(O)c1C#N,1.5618,167.21,223.3035713,0.74880128
ZZZRJG01,NC(=O)C(O)C(O)C(=O)O,1.7252,107.337,143.4519131,0.748243768
XAHMIE01,O=[N+]([O-])N1CN([N+](=O)[O-])c2nonc2N([N+](=O)[O-])C1,1.8911,181.307,242.3770826,0.748036894
CURTAN,N#[N+][N-]CN1C2C3N(C[N-][N+]#N)C4C1N([N+](=O)[O-])C(C(N2[N+](=O)[O-])N3[N+](=O)[O-])N4[N+](=O)[O-],1.8533,306.999,410.4564071,0.747945445
WUHYIH,[NH3+]C(Cc1conc1C(=O)[O-])C(=O)O,1.6819,147.71,197.5099229,0.747861159
SAPDAQ01,N(=N/c1nonc1-c1nnn[nH]1)\c1nonc1-c1nnn[nH]1,1.7898,209.581,280.2445885,0.747850301
VOGSUI,O=[N+]([O-])/N=c1\[nH]nc2nncnn12,1.8128,124.63,166.7470965,0.747419311
DUHZOW,O=C(c1ccc2c(O)n[nH]c(=O)c2c1)c1ccc2c(O)n[nH]c(=O)c2c1,1.6756,259.254,346.9313305,0.747277565
AFZPYM,Nc1ncnc2nonc12,1.6809,101.101,135.3788217,0.746800709
HNIABZ20,O=[N+]([O-])c1cc([N+](=O)[O-])c(/N=N/c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,1.7948,312.307,418.1985052,0.746791287
HOCVEA,O=C1C(=O)c2cccc([N+](=O)[O-])c2-c2ccc([N+](=O)[O-])cc21,1.6817,219.697,294.2833479,0.746549207
ELIGUD,O=[N+]([O-])OCn1nc([N+](=O)[O-])nc1-c1nc([N+](=O)[O-])nn1CO[N+](=O)[O-],1.8578,250.74,336.0987059,0.74603084
UZOPAD,O=[N+]([O-])OCn1cc([N+](=O)[O-])c([N+](=O)[O-])n1,1.8291,157.713,211.5385669,0.745551992
DILFUZ,O=[N+]([O-])N(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.875,314.307,421.5815916,0.745542515
SAZGOP,Nn1c(=O)[nH][nH]c1=O,1.7656,81.357,109.1329328,0.745485326
LAPWOR,O=[N+]([O-])c1cc(-n2cnnn2)cc([N+](=O)[O-])c1[N+](=O)[O-],1.7943,193.864,260.0750414,0.745415627
CUFRAZ,Nc1nc(-c2nonc2N[N+](=O)[O-])no1,1.8188,144.931,194.4956765,0.745163094
VOXKUR,O=[N+]1ON=C(c2ncon2)/C1=C1/N=CO[N-]1,1.7893,153.483,206.044843,0.744900954
AMTETA,[NH3+]CC#CC(=O)[O-],1.51,81.099,108.9089976,0.744649219
VUCBAW,O=[N+]([O-])C1([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])C1,1.8305,159.337,214.0980264,0.744224515
CATJIQ01,O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])CN([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])C1,1.8697,253.769,341.0781698,0.744020059
VICREE,[NH3+]CC(=O)[N-]O,1.5953,69.732,93.72863116,0.743977578
BOLPEX,O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c([N+](=O)[O-])ccc(O)c21,1.7361,234.794,315.6607434,0.743817548
QEFBUY,O=C1NC(=O)c2ccc3c4c(ccc1c24)C(=O)NC3=O,1.6829,195.161,262.5075736,0.743449026
TNIOAN,Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.7725,158.814,213.618351,0.743447364
AROCAM,O=C1c2cc3nccnc3cc2C(=O)c2cc3nccnc3cc21,1.6125,238.849,321.3734469,0.743213238
CADBOB,O=[N+]([O-])c1nonc1O,1.8181,88.895,119.6486052,0.74296729
CXPROL,O=C(O)C1C[NH2+]C(C(=O)[O-])C1,1.6496,118.929,160.1137693,0.742778092
NOEURA,O=C(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.8605,255.805,344.5313737,0.742472296
KUBPOM,O=[N+]([O-])C(=C1NCCCN1[N+](=O)[O-])[N+](=O)[O-],1.7922,160.317,215.9276948,0.742456868
IZAXAL,N/C(=N\[N+](=O)[O-])NNC=O,1.7334,104.548,140.8638285,0.742191953
REKBUE,O=C(O)CNC(=O)C(=O)NCC(=O)O,1.6955,148.238,199.8383337,0.741789612
KUSLIU,O=C([O-])c1nc2c3ccc[nH+]c3c3ncccc3c2nc1C(=O)O,1.6593,237.596,320.3053056,0.741779783
PICNEX,N#[N+][N-]c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.7733,176.43,237.8606822,0.74173671
WANDUL01,O=c1[nH][nH]c(=O)c2cc3c(=O)[nH][nH]c(=O)c3cc12,1.7265,175.522,236.6476717,0.741701783
REZDUY,Nc1ncc(C(=O)O)cn1,1.6394,104.45,140.836157,0.741641935
AMUGAT,N#CC1=C(\C#N)N/C=C(C=O)\C=N\C(C#N)=C(\C#N)N/C=C(C=O)\C=N\1,1.5331,276.399,372.6921283,0.741628221
SELZIS,O=c1[nH]c(=O)c2nc(-n3c(=O)[nH]c(=O)c4[nH]cnc43)n(C3OC(CO)C(O)C3O)c2[nH]1,1.7724,301.614,406.7115767,0.741591873
OGOYER,NC(N)=C(c1ncnc(N)n1)[N+](=O)[O-],1.7061,142.239,191.8105638,0.741559782
