name,smiles,Density,Vint,Veff,pc
KIZCUT,O=C(N[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.7295,222.366,524.5532068,0.703953335
VAFCOV,O=C1c2ccccc2C(=O)c2cc(CO[N+](=O)[O-])ccc21,1.5358,215.437,306.0487231,0.7039304
RAQROR,O=[N+]([O-])[C@@]12c3[n-]o[n+](=O)c3-c3[n-]o[n+](=O)c3[C@@H]1[C@H]1C=C[C@@H]2C1,1.6805,212.147,301.4274409,0.703807853
DNBZIL,O=C(C(=O)c1ccc([N+](=O)[O-])cc1)c1ccc([N+](=O)[O-])cc1,1.5428,227.292,322.9475595,0.703804669
XIZVAD,O=C1c2c(O)cccc2C2(Oc3cccc4c([N+](=O)[O-])ccc(c34)O2)C2OC12,1.5964,276.035,392.2169431,0.703781427
JAQVUV,CCN(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-],1.6629,211.557,300.6131006,0.703751765
IDOGAL,O=[N+]([O-])c1ccc(N/N=C/c2c3ccccc3cc3ccccc23)c([N+](=O)[O-])c1,1.5154,297.728,423.0963172,0.70368847
LAHCEC,O=C(O)CNc1ccc([N+](=O)[O-])cc1,1.5474,148.031,210.390322,0.703601756
VUPQAB,Nc1c([N+](=O)[O-])c(N)c2nn(-c3ccccc3)cc2c1[N+](=O)[O-],1.5957,229.943,326.8504051,0.703511443
JUPROB,CNc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.6421,172.182,244.7554446,0.703485883
ROMJIN,COC(=O)c1cc(C(=O)O)cc([N+](=O)[O-])c1,1.579,166.476,236.6563621,0.703450347
WOQXOR,O=[N+]([O-])c1cc(/C=N/O)ccc1O,1.563,136.022,193.3996134,0.703320951
YAHJOH,Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],1.634,162.197,230.7134741,0.703023526
EPATAR,CN1C(=O)N[C@@H](c2cccc([N+](=O)[O-])c2)c2c1cn[nH]c2=O,1.5756,223.074,317.3237377,0.702985543
YACLOD,O=c1oc2ccccc2n1-c1c([N+](=O)[O-])cc([N+](=O)[O-])c2[n-]o[n+](=O)c12,1.6766,249.969,355.5876992,0.702974261
ZIZRAD01,Cn1nc([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],1.7106,148.074,210.6652856,0.702887519
SINZEW,O=C(N/N=C/c1ccc([N+](=O)[O-])cc1)c1cc(O)cc(O)c1,1.5369,228.624,325.3019891,0.702805417
YOYSUC02,O=[N+]([O-])OCC(O[N+](=O)[O-])C(CO[N+](=O)[O-])O[N+](=O)[O-],1.758,200.481,285.266352,0.702785304
NIPYAZ,O=[N+]([O-])n1cccn1,1.5842,83.256,118.4731771,0.702741346
MENFXN,Cc1c([N+](=O)[O-])[n-]o[n+]1=O,1.6584,102.041,145.204726,0.702738835
CICCUN,O=C1C=Cc2ccccc2/C1=N/Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.5634,252.162,359.0833678,0.702238039
RIRMAH,Nc1ccc([N+](=O)[O-])cc1N,1.5171,117.581,167.5309367,0.70184649
KEPVIK,O=[N+]([O-])c1cc2cccc3c2c(c1[N+](=O)[O-])-c1ccccc1-3,1.5457,220.202,313.7578989,0.701821375
WOVXOU,O=[N+]([O-])c1cn(-c2ccccc2)cn1,1.4968,147.168,209.7426405,0.701659899
OCEHEL,N#CC(C#N)=Cc1cc2c(cc1[N+](=O)[O-])OCO2,1.5305,184.997,263.686577,0.701579133
SOXNEA,[N-]=[N+]=CC(=O)c1cccc([N+](=O)[O-])c1,1.5117,147.226,209.8495409,0.701578852
NTPYRO11,O=[N+]([O-])c1cc[n+]([O-])cc1,1.5644,104.265,148.632608,0.701494789
LAPWUX,COc1cc(-n2cnnn2)c([N+](=O)[O-])cc1[N+](=O)[O-],1.6467,188.169,268.2856438,0.701375584
ZAYRIA,CC(=O)Nc1c(O)cc(C(=O)O)cc1[N+](=O)[O-],1.5947,175.302,249.957669,0.701326752
IKIMIY,CN(c1nc(N(C)[N+](=O)[O-])c([N+](=O)[O-])nc1[N+](=O)[O-])[N+](=O)[O-],1.7223,222.451,526.7460788,0.701290708
PAXQUC,N#[N+][N-]CC(=O)c1ccc([N+](=O)[O-])cc1,1.5184,157.986,225.3402594,0.701099752
MUGDID,C#CCOC(=O)c1cc(C(=O)OCC#C)cc([N+](=O)[O-])c1,1.4809,225.663,321.8742549,0.701090555
DEGCEY,COc1ccc(/C=C/C(=O)c2ccc([N+](=O)[O-])cc2)cc1,1.4472,227.712,324.8272878,0.701024848
NAPHUK,O=[N+]([O-])/C=C/C=C/[N+](=O)[O-],1.5547,107.831,153.8269809,0.70098886
UQACEV,COC(=O)c1cc2cc([N+](=O)[O-])ccc2[nH]1,1.5207,168.441,240.2922234,0.700983983
EMOMOL,O=C1CN(c2ccc([N+](=O)[O-])cc2)C(=O)CN1c1ccc([N+](=O)[O-])cc1,1.555,266.517,380.2567724,0.700886925
DAPJOU,O=[N+]([O-])c1cc([N+](=O)[O-])c(OCC2CC2)c([N+](=O)[O-])c1,1.5936,206.715,294.9441194,0.700861575
LACLAC,Cc1c(C(N)=O)cc([N+](=O)[O-])cc1[N+](=O)[O-],1.5817,165.586,236.2641777,0.700851063
QAJJUI,O=C(N/N=C/c1cccc(O)c1)c1cccc([N+](=O)[O-])c1,1.5087,219.909,313.777074,0.700844702
BEDWOX01,O=C1C=CC(=O)N1c1ccc([N+](=O)[O-])cc1,1.5414,164.617,234.8937302,0.700814789
SOHRUC,O=[N+]([O-])C1=CC(=[N+]([O-])[O-])C=C2C1=CC(c1ccccc1)=C[N+]2=O,1.5567,232.467,331.8151464,0.700591888
RIKZOD,O=c1[nH]nnn1Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.7119,212.027,302.6700747,0.700521848
